ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
14022364,JJ481220,11/07/2025 01:02:00 PM,0000X E OAK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,1824.0,18.0,42.0,8.0,06,1176674.0,1907226.0,2025.0,03/14/2026 03:41:39 PM,41.900777694,-87.62650376,"(41.900777694, -87.62650376)"
13239916,JG459361,09/19/2023 09:00:00 AM,004XX W MELROSE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1925.0,19.0,44.0,6.0,11,1172762.0,1921921.0,2023.0,10/13/2023 03:40:50 PM,41.941188986,-87.640436534,"(41.941188986, -87.640436534)"
13440250,JH238191,04/25/2024 07:30:00 AM,097XX S PRAIRIE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,511.0,5.0,9.0,49.0,08A,1179639.0,1840369.0,2024.0,12/21/2024 03:40:46 PM,41.717248865,-87.617658216,"(41.717248865, -87.617658216)"
13286306,JG515042,11/23/2023 11:00:00 AM,056XX S KILBOURN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,813.0,8.0,13.0,62.0,08B,1147327.0,1866784.0,2023.0,12/01/2023 03:41:15 PM,41.790412417,-87.735332034,"(41.790412417, -87.735332034)"
13356626,JH137885,02/02/2024 05:59:00 PM,081XX S NORMAL AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,False,False,622.0,6.0,6.0,44.0,26,1174378.0,1851005.0,2024.0,12/21/2024 03:40:46 PM,41.746553862,-87.636611601,"(41.746553862, -87.636611601)"
13882215,JJ311829,06/26/2025 01:30:00 PM,021XX E 100TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,431.0,4.0,7.0,51.0,26,1192264.0,1839087.0,2025.0,03/14/2026 03:41:39 PM,41.713433639,-87.571460456,"(41.713433639, -87.571460456)"
13072641,JG260284,05/14/2023 01:20:00 PM,034XX W LAWRENCE AVE,0810,THEFT,OVER $500,CTA TRAIN,True,False,1712.0,17.0,33.0,14.0,06,1152766.0,1931684.0,2023.0,08/19/2023 03:40:26 PM,41.968399337,-87.713670197,"(41.968399337, -87.713670197)"
12899770,JF483254,11/21/2022 06:30:00 PM,001XX S STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,112.0,1.0,42.0,32.0,06,1176401.0,1899793.0,2022.0,01/03/2023 03:40:27 PM,41.880387322,-87.627731005,"(41.880387322, -87.627731005)"
13444259,JH243388,04/29/2024 12:36:00 PM,051XX S PRAIRIE AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,True,True,231.0,2.0,3.0,40.0,04B,1178912.0,1871028.0,2024.0,12/21/2024 03:40:46 PM,41.801397102,-87.619388961,"(41.801397102, -87.619388961)"
13656241,JH499059,05/18/2024 08:00:00 AM,021XX W 19TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1234.0,12.0,25.0,31.0,06,1162458.0,1890723.0,2024.0,05/17/2025 03:40:52 PM,41.85580156,-87.679181872,"(41.85580156, -87.679181872)"
13994462,JJ447713,10/11/2025 08:20:00 AM,078XX S COLES AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,421.0,4.0,7.0,43.0,06,1197407.0,1853828.0,2025.0,03/14/2026 03:41:39 PM,41.75375771,-87.552135344,"(41.75375771, -87.552135344)"
13486088,JH294923,06/06/2024 02:30:00 PM,003XX E GRAND AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,False,1834.0,18.0,2.0,8.0,08A,1178903.0,1903985.0,2024.0,05/17/2025 03:40:52 PM,41.89183356,-87.618415799,"(41.89183356, -87.618415799)"
13633556,JH471686,10/17/2024 10:26:00 AM,024XX N SACRAMENTO AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SMALL RETAIL STORE,True,False,1414.0,14.0,35.0,22.0,03,1155961.0,1916199.0,2024.0,05/17/2025 03:40:52 PM,41.925843451,-87.702341464,"(41.925843451, -87.702341464)"
14031764,JJ493038,11/17/2025 06:18:00 PM,008XX W BELMONT AVE,0460,BATTERY,SIMPLE,STREET,False,False,1933.0,19.0,44.0,6.0,08B,1170018.0,1921452.0,2025.0,03/14/2026 03:41:39 PM,41.939962451,-87.650535444,"(41.939962451, -87.650535444)"
13206702,JG419467,09/11/2023 05:40:00 AM,023XX W WALNUT ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,False,False,1223.0,12.0,27.0,28.0,03,1160868.0,1901619.0,2023.0,09/19/2023 03:42:46 PM,41.885734302,-87.684715751,"(41.885734302, -87.684715751)"
13151601,JG354119,01/01/2023 12:00:00 AM,063XX S MAPLEWOOD AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,825.0,8.0,16.0,66.0,06,1160465.0,1862440.0,2023.0,08/19/2023 03:40:26 PM,41.778231017,-87.687277678,"(41.778231017, -87.687277678)"
14031040,JJ492021,11/16/2025 11:00:00 PM,094XX S THROOP ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2222.0,22.0,21.0,73.0,07,1169318.0,1842182.0,2025.0,03/14/2026 03:41:39 PM,41.722453222,-87.655407293,"(41.722453222, -87.655407293)"
13443478,JH242180,04/27/2024 04:20:00 PM,0000X E GRAND AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1834.0,18.0,42.0,8.0,06,1176796.0,1903917.0,2024.0,12/21/2024 03:40:46 PM,41.891694878,-87.626155832,"(41.891694878, -87.626155832)"
13451780,JH252979,05/06/2024 06:22:00 PM,034XX W CHICAGO AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121.0,11.0,27.0,23.0,18,1153329.0,1905121.0,2024.0,12/21/2024 03:40:46 PM,41.895497167,-87.712307535,"(41.895497167, -87.712307535)"
14072075,JK101369,12/31/2025 01:00:00 PM,069XX S GREEN ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,733.0,7.0,16.0,68.0,05,1171831.0,1858865.0,2025.0,03/14/2026 03:41:39 PM,41.768178912,-87.645714196,"(41.768178912, -87.645714196)"
13399005,JH188689,03/01/2024 12:00:00 AM,047XX W AUGUSTA BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1111.0,11.0,37.0,25.0,07,1144609.0,1906237.0,2024.0,12/21/2024 03:40:46 PM,41.898728332,-87.744306205,"(41.898728332, -87.744306205)"
13578548,JH405910,08/27/2024 11:30:00 AM,026XX W 48TH ST,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,922.0,9.0,15.0,58.0,06,1159698.0,1872763.0,2024.0,05/17/2025 03:40:52 PM,41.806574495,-87.689806266,"(41.806574495, -87.689806266)"
13579211,JH406480,08/28/2024 04:00:00 PM,049XX W OHIO ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,1532.0,15.0,37.0,25.0,07,1143256.0,1903538.0,2024.0,05/17/2025 03:40:52 PM,41.891347346,-87.74934324,"(41.891347346, -87.74934324)"
13817030,JJ231668,04/25/2025 08:36:00 PM,064XX S WESTERN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,825.0,8.0,16.0,66.0,06,1161478.0,1861938.0,2025.0,03/14/2026 03:41:39 PM,41.776832515,-87.683577859,"(41.776832515, -87.683577859)"
13024178,JG201722,03/27/2023 08:45:00 PM,067XX S CRANDON AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,331.0,3.0,5.0,43.0,07,1192481.0,1860786.0,2023.0,08/19/2023 03:40:26 PM,41.772972324,-87.569960767,"(41.772972324, -87.569960767)"
13939971,JJ381650,08/19/2025 07:59:00 PM,037XX W DIVISION ST,143B,WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,ALLEY,True,False,1112.0,11.0,27.0,23.0,15,1151011.0,1907736.0,2025.0,03/14/2026 03:41:39 PM,41.902718713,-87.720752479,"(41.902718713, -87.720752479)"
